month,day,temp,RH,wind,rain,area
mar,fri,8.2,51,6.7,0,0
oct,tue,18,33,0.9,0,0
oct,sat,14.6,33,1.3,0,0
mar,fri,8.3,97,4,0.2,0
mar,sun,11.4,99,1.8,0,0
aug,sun,22.2,29,5.4,0,0
aug,mon,24.1,27,3.1,0,0
aug,mon,8,86,2.2,0,0
sep,tue,13.1,63,5.4,0,0
sep,sat,22.8,40,4,0,0
sep,sat,17.8,51,7.2,0,0
sep,sat,19.3,38,4,0,0
aug,fri,17,72,6.7,0,0
sep,mon,21.3,42,2.2,0,0
sep,wed,26.4,21,4.5,0,0
sep,fri,22.9,44,5.4,0,0
mar,sat,15.1,27,5.4,0,0
oct,mon,16.7,47,4.9,0,0
mar,wed,15.9,35,4,0,0
apr,sat,9.3,44,4.5,0,0
sep,tue,18.3,40,2.7,0,0
sep,mon,19.1,38,2.7,0,0
jun,sun,21,44,4.5,0,0
aug,sat,19.5,43,5.8,0,0
aug,sat,23.7,32,5.8,0,0
aug,sun,16.3,60,5.4,0,0
sep,fri,19,34,5.8,0,0
sep,mon,19.4,48,1.3,0,0
sep,sat,30.2,24,2.7,0,0
sep,sun,22.8,39,3.6,0,0
sep,fri,25.4,24,3.6,0,0
sep,mon,11.2,78,7.6,0,0
sep,fri,20.6,37,1.8,0,0
sep,sun,17.7,39,3.6,0,0
sep,mon,21.2,32,2.7,0,0
sep,tue,18.2,62,4.5,0,0
oct,tue,21.7,24,4.5,0,0
oct,fri,11.3,60,5.4,0,0
oct,sat,17.8,27,4,0,0
mar,tue,14.1,43,2.7,0,0
jul,tue,23.3,37,3.1,0,0
aug,sat,18.4,42,6.7,0,0
aug,tue,16.6,54,5.4,0,0
sep,sat,19.6,48,2.7,0,0
sep,wed,12.9,74,4.9,0,0
sep,wed,25.9,24,4,0,0
sep,mon,14.7,70,3.6,0,0
jul,mon,23,36,3.1,0,0
mar,mon,11.8,35,1.8,0,0
mar,mon,11,46,5.8,0,0
sep,thu,20.8,17,1.3,0,0
aug,sun,21.5,34,2.2,0,0
aug,wed,20.4,42,4.9,0,0
aug,wed,20.4,42,4.9,0,0
aug,thu,17.6,45,3.6,0,0
sep,thu,27.7,24,2.2,0,0
sep,tue,17.8,63,4.9,0,0
oct,sun,13.8,50,2.7,0,0
feb,mon,13.9,40,5.4,0,0
feb,fri,12.3,51,0.9,0,0
mar,sun,11.5,39,5.8,0,0
mar,sun,5.5,59,6.3,0,0
aug,thu,18.8,35,4.9,0,0
aug,sun,20.8,33,2.7,0,0
aug,mon,23.1,31,3.1,0,0
aug,thu,18.6,44,4.5,0,0
sep,fri,23,37,4.5,0,0
